prod_id,fixed_cost,variable_cost,sales_price,salvage_value,demand,order,profit
7,784.0,8.07,22.73,2.48,4214.0,4383.0,60048.53
39,661.0,7.08,21.4,6.67,4100.0,4283.0,57975.97
77,783.0,9.88,23.78,3.83,4061.0,4388.0,53686.55
46,722.0,12.9,29.17,9.18,2954.0,2964.0,47302.38000000001
23,801.0,11.6,24.86,6.43,3651.0,3540.0,46139.399999999994
45,713.0,9.32,20.12,0.66,4373.0,4299.0,45716.200000000004
37,808.0,10.5,26.72,8.56,2866.0,2880.0,45651.359999999986
83,724.0,5.75,14.49,1.85,5094.0,5649.0,41633.06
42,681.0,8.0,19.17,6.44,3668.0,3684.0,40265.600000000006
2,683.0,8.6,20.04,5.4,3534.0,3576.0,39611.560000000005
18,736.0,11.93,23.31,5.36,3470.0,3545.0,38259.85
89,643.0,7.8,18.26,4.09,3680.0,3824.0,37315.56000000001
32,846.0,10.09,22.59,8.3,2949.0,3179.0,35604.8
35,865.0,10.6,23.59,4.94,2832.0,2898.0,35549.119999999995
16,591.0,11.68,26.46,7.55,2431.0,2433.0,35330.92
24,733.0,7.67,18.61,2.34,3161.0,3138.0,33596.72
29,623.0,8.52,17.97,6.91,3628.0,3854.0,33297.73999999999
44,719.0,9.49,20.95,5.47,2924.0,2946.0,32701.59999999999
47,651.0,8.62,20.85,3.85,2810.0,3174.0,31979.02000000001
48,868.0,12.06,25.15,3.41,2562.0,2496.0,31804.639999999992
36,713.0,7.72,17.78,5.41,3114.0,3093.0,30402.58
75,686.0,7.89,17.98,4.01,2935.0,2929.0,28867.61
82,775.0,9.37,19.52,4.79,2856.0,2848.0,28132.2
13,576.0,7.59,18.34,3.73,2669.0,2706.0,27972.93
59,602.0,6.19,14.51,3.05,3551.0,3958.0,27664.34
78,802.0,7.83,16.65,5.91,3197.0,3191.0,27342.619999999995
69,855.0,8.45,20.99,3.11,2279.0,2387.0,27146.94
55,714.0,8.72,21.57,4.02,2159.0,2258.0,26563.85
49,678.0,10.02,21.85,3.48,2319.0,2302.0,26554.660000000007
94,709.0,8.48,17.02,0.84,3228.0,3271.0,26529.6
14,715.0,9.17,21.05,6.2,2265.0,2311.0,26056.579999999998
22,890.0,10.63,21.95,1.97,2376.0,2429.0,25547.34
85,721.0,8.26,19.55,5.47,2313.0,2329.0,25348.129999999997
57,665.0,7.93,18.64,3.55,2467.0,2612.0,25121.470000000005
54,759.0,8.94,18.39,7.94,2710.0,2817.0,24743.500000000004
66,570.0,10.1,23.14,3.45,1973.0,2058.0,24592.670000000002
53,694.0,7.78,17.61,3.63,2571.0,2619.0,24379.729999999996
52,685.0,6.26,13.77,0.14,3522.0,3757.0,24327.019999999997
72,797.0,6.46,17.1,2.25,2369.0,2429.0,24156.56
71,781.0,10.34,22.59,2.42,2187.0,2035.0,24147.75
99,859.0,7.84,21.52,3.18,1875.0,2057.0,23942.880000000005
68,698.0,9.71,23.87,4.92,1780.0,1919.0,23840.989999999994
11,646.0,10.76,22.67,6.52,2033.0,2035.0,23558.550000000003
60,640.0,8.64,19.06,7.14,2226.0,2349.0,22370.42
61,878.0,7.41,18.79,1.03,2123.0,2039.0,22325.82
28,868.0,9.95,22.07,6.57,1845.0,1845.0,21493.4
70,681.0,9.32,18.55,6.78,2405.0,2399.0,21461.770000000004
50,733.0,8.03,18.43,3.53,2173.0,2269.0,21434.199999999997
3,746.0,9.49,17.91,4.79,2614.0,2600.0,21146.0
1,702.0,4.93,15.4,4.1,2015.0,2318.0,20143.559999999998
